dataset,model,train_rows,test_rows,test_start_date,test_end_date,MAE_hotel_z,RMSE_hotel_z,R2_hotel_z,MAE_raw_backtransformed,RMSE_raw_backtransformed,R2_raw_backtransformed
baseline_calendar_autoreg_hotel_z_target,RandomForest,983,268,2025-06-28,2025-11-08,0.22065779150962267,0.36609620567273526,0.8993139704415505,3.8637953732313055,6.189161515958502,0.8931238741938407
baseline_calendar_autoreg_hotel_z_target,Ridge,983,268,2025-06-28,2025-11-08,0.5328866747091667,0.9195225543664988,0.364810175514082,9.141483569693435,14.92408089417077,0.3785699382727993
baseline_plus_trends_hotel_z_target,RandomForest,857,220,2025-07-22,2025-11-08,0.26305432007775464,0.46362811914541563,0.9098738968381921,3.6421571061684683,6.153348654735245,0.9105006267221981
baseline_plus_trends_hotel_z_target,Ridge,857,220,2025-07-22,2025-11-08,0.58190011299021,0.9941852690899834,0.585575230031832,7.894520259696638,12.591203139858706,0.6252588296196839
