dataset,model,hotel_name,test_rows,MAE_hotel_z,RMSE_hotel_z,R2_hotel_z,MAE_raw_backtransformed,RMSE_raw_backtransformed,R2_raw_backtransformed
baseline_calendar_autoreg_hotel_z_target,RandomForest,Side Mare Hotel,134,0.24299565183809096,0.42598271530924264,0.8987999159703647,3.277464382956375,5.7455479825266345,0.8987999159703647
baseline_calendar_autoreg_hotel_z_target,RandomForest,Azura Deluxe,134,0.1983199311811544,0.29426448965804913,0.8879161062790485,4.450126363506236,6.603038612769701,0.8879161062790485
baseline_calendar_autoreg_hotel_z_target,Ridge,Azura Deluxe,134,0.4365901117737059,0.6546449789379302,0.4452731611300954,9.796701495804712,14.689662618164034,0.4452731611300955
baseline_calendar_autoreg_hotel_z_target,Ridge,Side Mare Hotel,134,0.6291832376446275,1.1236028691351487,0.2959190449119412,8.486265643582158,15.154873580337782,0.2959190449119413
baseline_plus_trends_hotel_z_target,RandomForest,Side Mare Hotel,110,0.29277604989917494,0.547546810147338,0.9075300290042799,3.217194598180863,6.016764829171713,0.9075300290042798
baseline_plus_trends_hotel_z_target,RandomForest,Azura Deluxe,110,0.23333259025633432,0.360686229875922,0.9127245090770981,4.067119614156073,6.286965907646263,0.9127245090770982
baseline_plus_trends_hotel_z_target,Ridge,Azura Deluxe,110,0.46577622722602036,0.654311874561424,0.7127878686761047,8.118744267474383,11.405027715504707,0.7127878686761047
baseline_plus_trends_hotel_z_target,Ridge,Side Mare Hotel,110,0.6980239987543997,1.2444615981857219,0.5223374264697465,7.670296251918892,13.674872424521736,0.5223374264697463
