dataset,model,folds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2
baseline_calendar_autoreg_walk_forward,RandomForest,4,5.550129716149264,4.06753329970329,8.165544768919236,5.369963370728254,-0.2373983583615057,1.5839442019011436
baseline_calendar_autoreg_walk_forward,Ridge,4,9.628018148474139,4.300916688363977,13.812411821214457,7.085158480668738,-2.070866474922395,4.184109192035414
baseline_plus_trends_walk_forward,RandomForest,4,5.5341781170240605,4.114038040382743,8.039748204704486,5.404775493263125,-0.1793262684782287,1.484007827661426
baseline_plus_trends_walk_forward,Ridge,4,8.26889599154773,4.414674285556073,12.251305621698524,6.82683291270535,-0.9272285206501016,2.210310154602679
