dataset,model,hotel_name,test_rows,MAE,RMSE,R2
baseline_calendar_autoreg,RandomForest,Side Mare Hotel,134,2.8676700853562713,3.907435101275002,0.953194002144781
baseline_calendar_autoreg,RandomForest,Azura Deluxe,134,4.751242336463089,7.3264540326254,0.8620114045651732
baseline_calendar_autoreg,Ridge,Azura Deluxe,134,9.096837568156214,14.45351719604797,0.4629649603716246
baseline_calendar_autoreg,Ridge,Side Mare Hotel,134,9.873245782843846,14.695009490619169,0.33800043648141653
baseline_plus_trends,RandomForest,Side Mare Hotel,110,2.418885727305421,3.129093710939115,0.9749901097012419
baseline_plus_trends,RandomForest,Azura Deluxe,110,3.8465758273548474,6.021234714616442,0.9199463379575475
baseline_plus_trends,Ridge,Azura Deluxe,110,7.820545311232534,12.042618069935946,0.6797774469358562
baseline_plus_trends,Ridge,Side Mare Hotel,110,8.430361566255728,12.693930452830209,0.5884080458498829
